City	Population	LGA2013	LGA2014	Difference	%Chg	LGApercapita	IncreasePercapita
Eagle Bend 	535	$156,373	$172,138	$15,765	10.08%	$321.75	$29.47
Eagle Lake 	2,422	$510,589	$599,953	$89,364	17.50%	$247.71	$36.90
East Bethel 	11,626	$0	$23,470	$23,470	0.00%	$2.02	$2.02
East Grand Forks 	8,601	$2,471,550	$2,514,148	$42,598	1.72%	$292.31	$4.95
East Gull Lake 	1,004	$0	$0	$0	0.00%	$0.00	$0.00
Easton 	199	$31,062	$33,834	$2,772	8.92%	$170.02	$13.93
Echo 	278	$70,726	$73,911	$3,185	4.50%	$265.87	$11.46
Eden Prairie 	60,797	$0	$0	$0	0.00%	$0.00	$0.00
Eden Valley 	1,042	$228,099	$276,647	$48,548	21.28%	$265.50	$46.59
Edgerton 	1,189	$293,365	$333,398	$40,033	13.65%	$280.40	$33.67
Edina 	47,941	$0	$0	$0	0.00%	$0.00	$0.00
Effie 	123	$9,800	$13,283	$3,483	35.54%	$107.99	$28.32
Eitzen 	243	$32,958	$37,749	$4,791	14.54%	$155.35	$19.72
Elba 	152	$29,764	$29,764	$0	0.00%	$195.82	$0.00
Elbow Lake 	1,176	$349,082	$388,699	$39,617	11.35%	$330.53	$33.69
Elgin 	1,089	$281,551	$320,525	$38,974	13.84%	$294.33	$35.79
Elizabeth 	173	$29,650	$34,936	$5,286	17.83%	$201.94	$30.55
Elk River 	22,974	$0	$225,894	$225,894	0.00%	$9.83	$9.83
Elko New Market 	4,110	$164,986	$206,682	$41,696	25.27%	$50.29	$10.15
Elkton 	141	$11,799	$13,618	$1,819	15.42%	$96.58	$12.90
Ellendale 	691	$124,811	$160,351	$35,540	28.48%	$232.06	$51.43
Ellsworth 	463	$161,977	$168,787	$6,810	4.20%	$364.55	$14.71
Elmdale 	116	$5,281	$7,948	$2,667	50.50%	$68.52	$22.99
Elmore 	663	$216,939	$240,516	$23,577	10.87%	$362.77	$35.56
Elrosa 	211	$24,938	$29,763	$4,825	19.35%	$141.06	$22.87
Ely 	3,460	$1,713,366	$2,050,945	$337,579	19.70%	$592.76	$97.57
Elysian 	652	$20,524	$20,524	$0	0.00%	$31.48	$0.00
Emily 	813	$0	$0	$0	0.00%	$0.00	$0.00
Emmons 	391	$80,748	$93,587	$12,839	15.90%	$239.35	$32.84
Erhard 	148	$25,909	$28,668	$2,759	10.65%	$193.70	$18.64
Erskine 	503	$95,104	$119,205	$24,101	25.34%	$236.99	$47.91
Evan 	86	$14,726	$15,198	$472	3.21%	$176.72	$5.49
Evansville 	612	$119,255	$146,958	$27,703	23.23%	$240.13	$45.27
Eveleth 	3,718	$2,186,891	$2,525,767	$338,876	15.50%	$679.33	$91.14
Excelsior 	2,188	$0	$0	$0	0.00%	$0.00	$0.00
Eyota 	1,977	$422,699	$494,546	$71,847	17.00%	$250.15	$36.34
Fairfax 	1,235	$398,946	$439,942	$40,996	10.28%	$356.23	$33.20
Fairmont 	10,666	$3,722,165	$3,740,909	$18,744	0.50%	$350.73	$1.76
Falcon Heights 	5,321	$310,126	$503,707	$193,581	62.42%	$94.66	$36.38
Faribault 	23,352	$4,772,748	$5,290,264	$517,516	10.84%	$226.54	$22.16
Farmington 	21,086	$0	$245,329	$245,329	0.00%	$11.63	$11.63
Farwell 	51	$14,192	$14,192	$0	0.00%	$278.27	$0.00
Federal Dam 	110	$0	$0	$0	0.00%	$0.00	$0.00
Felton 	177	$25,659	$29,195	$3,536	13.78%	$164.94	$19.98
Fergus Falls 	13,138	$3,563,824	$3,622,949	$59,125	1.66%	$275.76	$4.50
Fertile 	842	$259,982	$288,565	$28,583	10.99%	$342.71	$33.95
Fifty Lakes 	387	$0	$0	$0	0.00%	$0.00	$0.00
Finlayson 	315	$34,625	$42,009	$7,384	21.33%	$133.36	$23.44
Fisher 	435	$70,862	$89,869	$19,007	26.82%	$206.60	$43.69
Flensburg 	225	$20,587	$27,322	$6,735	32.71%	$121.43	$29.93
Floodwood 	528	$133,152	$151,209	$18,057	13.56%	$286.38	$34.20
Florence 	39	$9,193	$9,602	$409	4.45%	$246.21	$10.49
Foley 	2,603	$634,131	$725,340	$91,209	14.38%	$278.66	$35.04
Forada 	185	$0	$0	$0	0.00%	$0.00	$0.00
Forest Lake 	18,375	$0	$56,004	$56,004	0.00%	$3.05	$3.05
Foreston 	533	$68,533	$92,986	$24,453	35.68%	$174.46	$45.88
Fort Ripley 	69	$0	$0	$0	0.00%	$0.00	$0.00
