City,yr2013,yr2014,Difference,PctChg,GEO.display-label,Population,PopHuman,GEO.id,GEO.id2,2014pclga,2014pcincrease,m2013,m2014,mdifference,mpctchg,mpclga,mpcincrease
CHANDLER,"$68,662.00","$68,662.00",$0.00,0.00%,Chandler ,270,270,1600000US2710900,2710900,$254.30,$0.00,68662,68662,0,.0000,254.30,0.00
CHANHASSEN,$0.00,$0.00,$0.00,0.00%,Chanhassen ,22952,"22,952",1600000US2710918,2710918,$0.00,$0.00,0,0,0,.0000,0.00,0.00
CHASKA,"$37,441.00","$462,669.00","$425,228.00",1135.73%,Chaska ,23770,"23,770",1600000US2710972,2710972,$19.46,$17.89,37441,462669,425228,11.3573,19.46,17.89
CHATFIELD,"$666,960.00","$751,023.00","$84,063.00",12.60%,Chatfield ,2779,"2,779",1600000US2711008,2711008,$270.25,$30.25,666960,751023,84063,.1260,270.25,30.25
CHICKAMAW BEACH,$0.00,$0.00,$0.00,0.00%,Chickamaw Beach ,114,114,1600000US2711296,2711296,$0.00,$0.00,0,0,0,.0000,0.00,0.00
CHISAGO CITY,$0.00,"$122,931.00","$122,931.00",0.00%,Chisago City ,4967,"4,967",1600000US2711350,2711350,$24.75,$24.75,0,122931,122931,.0000,24.75,24.75
CHISHOLM,"$2,711,002.00","$3,058,095.00","$347,093.00",12.80%,Chisholm ,4976,"4,976",1600000US2711386,2711386,$614.57,$69.75,2711002,3058095,347093,.1280,614.57,69.75
CHOKIO,"$119,050.00","$125,027.00","$5,977.00",5.02%,Chokio ,400,400,1600000US2711440,2711440,$312.57,$14.94,119050,125027,5977,.0502,312.57,14.94
CIRCLE PINES,"$152,142.00","$314,429.00","$162,287.00",106.67%,Circle Pines ,4918,"4,918",1600000US2711494,2711494,$63.93,$33.00,152142,314429,162287,1.0667,63.93,33.00
CLARA CITY,"$358,536.00","$396,080.00","$37,544.00",10.47%,Clara City ,1360,"1,360",1600000US2711548,2711548,$291.24,$27.61,358536,396080,37544,.1047,291.24,27.61
CLAREMONT,"$153,171.00","$158,316.00","$5,145.00",3.36%,Claremont ,548,548,1600000US2711566,2711566,$288.90,$9.39,153171,158316,5145,.0336,288.90,9.39
CLARISSA,"$157,119.00","$192,831.00","$35,712.00",22.73%,Clarissa ,681,681,1600000US2711602,2711602,$283.16,$52.44,157119,192831,35712,.2273,283.16,52.44
CLARKFIELD,"$344,785.00","$356,736.00","$11,951.00",3.47%,Clarkfield ,863,863,1600000US2711656,2711656,$413.37,$13.85,344785,356736,11951,.0347,413.37,13.85
CLARKS GROVE,"$165,361.00","$194,228.00","$28,867.00",17.46%,Clarks Grove ,706,706,1600000US2711674,2711674,$275.11,$40.89,165361,194228,28867,.1746,275.11,40.89
CLEAR LAKE,"$23,234.00","$43,155.00","$19,921.00",85.74%,Clear Lake ,545,545,1600000US2711764,2711764,$79.18,$36.55,23234,43155,19921,.8574,79.18,36.55
CLEARBROOK,"$146,914.00","$161,597.00","$14,683.00",9.99%,Clearbrook ,518,518,1600000US2711746,2711746,$311.96,$28.35,146914,161597,14683,.0999,311.96,28.35
CLEARWATER,"$209,623.00","$272,865.00","$63,242.00",30.17%,Clearwater ,1735,"1,735",1600000US2711800,2711800,$157.27,$36.45,209623,272865,63242,.3017,157.27,36.45
CLEMENTS,"$33,903.00","$35,504.00","$1,601.00",4.72%,Clements ,153,153,1600000US2711836,2711836,$232.05,$10.46,33903,35504,1601,.0472,232.05,10.46
CLEVELAND,"$124,558.00","$153,989.00","$29,431.00",23.63%,Cleveland ,719,719,1600000US2711872,2711872,$214.17,$40.93,124558,153989,29431,.2363,214.17,40.93
CLIMAX,"$43,962.00","$53,856.00","$9,894.00",22.51%,Climax ,267,267,1600000US2711962,2711962,$201.71,$37.06,43962,53856,9894,.2251,201.71,37.06
CLINTON,"$137,750.00","$149,109.00","$11,359.00",8.25%,Clinton ,449,449,1600000US2711980,2711980,$332.09,$25.30,137750,149109,11359,.0825,332.09,25.30
CLITHERALL,"$16,870.00","$20,075.00","$3,205.00",19.00%,Clitherall ,112,112,1600000US2712088,2712088,$179.24,$28.62,16870,20075,3205,.1900,179.24,28.62
