City;$2,013;$2,014;Difference;%Chg;GEO.display-label;Pophuman;Population;GEO.id;GEO.id2;2014pclga;2014pcincrease
CLARA CITY;$358,536;$396,080;$37,544;10.47%;Clara City ;1,360;1360;1600000US2711548;2711548;$291.24;$27.61
CLAREMONT;$153,171;$158,316;$5,145;3.36%;Claremont ;548;548;1600000US2711566;2711566;$288.90;$9.39
CLARISSA;$157,119;$192,831;$35,712;22.73%;Clarissa ;681;681;1600000US2711602;2711602;$283.16;$52.44
CLARKFIELD;$344,785;$356,736;$11,951;3.47%;Clarkfield ;863;863;1600000US2711656;2711656;$413.37;$13.85
CLARKS GROVE;$165,361;$194,228;$28,867;17.46%;Clarks Grove ;706;706;1600000US2711674;2711674;$275.11;$40.89
CLEAR LAKE;$23,234;$43,155;$19,921;85.74%;Clear Lake ;545;545;1600000US2711764;2711764;$79.18;$36.55
CLEARBROOK;$146,914;$161,597;$14,683;9.99%;Clearbrook ;518;518;1600000US2711746;2711746;$311.96;$28.35
CLEARWATER;$209,623;$272,865;$63,242;30.17%;Clearwater ;1,735;1735;1600000US2711800;2711800;$157.27;$36.45
CLEMENTS;$33,903;$35,504;$1,601;4.72%;Clements ;153;153;1600000US2711836;2711836;$232.05;$10.46
CLEVELAND;$124,558;$153,989;$29,431;23.63%;Cleveland ;719;719;1600000US2711872;2711872;$214.17;$40.93
CLIMAX;$43,962;$53,856;$9,894;22.51%;Climax ;267;267;1600000US2711962;2711962;$201.71;$37.06
CLINTON;$137,750;$149,109;$11,359;8.25%;Clinton ;449;449;1600000US2711980;2711980;$332.09;$25.30
CLITHERALL;$16,870;$20,075;$3,205;19.00%;Clitherall ;112;112;1600000US2712088;2712088;$179.24;$28.62
CLONTARF;$22,120;$23,664;$1,544;6.98%;Clontarf ;164;164;1600000US2712124;2712124;$144.29;$9.41
CLOQUET;$1,968,020;$2,299,125;$331,105;16.82%;Cloquet ;12,124;12124;1600000US2712160;2712160;$189.63;$27.31
COATES;$0;$0;$0;0.00%;Coates ;161;161;1600000US2712376;2712376;$0.00;$0.00
COBDEN;$3,505;$3,505;$0;0.00%;Cobden ;36;36;1600000US2712394;2712394;$97.36;$0.00
COHASSET;$0;$0;$0;0.00%;Cohasset ;2,698;2698;1600000US2712412;2712412;$0.00;$0.00
COKATO;$435,043;$552,496;$117,453;27.00%;Cokato ;2,694;2694;1600000US2712430;2712430;$205.08;$43.60
COLD SPRING;$456,875;$590,149;$133,274;29.17%;Cold Spring ;4,025;4025;1600000US2712484;2712484;$146.62;$33.11
COLERAINE;$351,624;$390,665;$39,041;11.10%;Coleraine ;1,970;1970;1600000US2712502;2712502;$198.31;$19.82
COLOGNE;$149,495;$193,125;$43,630;29.18%;Cologne ;1,519;1519;1600000US2712664;2712664;$127.14;$28.72
COLUMBIA HEIGHTS;$895,180;$1,404,176;$508,996;56.86%;Columbia Heights ;19,496;19496;1600000US2712700;2712700;$72.02;$26.11
COLUMBUS;$0;$0;$0;0.00%;Columbus ;3,914;3914;1600000US2712718;2712718;$0.00;$0.00
COMFREY;$99,593;$105,802;$6,209;6.23%;Comfrey ;382;382;1600000US2712772;2712772;$276.97;$16.25
COMSTOCK;$16,780;$16,780;$0;0.00%;Comstock ;93;93;1600000US2712862;2712862;$180.43;$0.00
CONGER;$19,961;$24,200;$4,239;21.24%;Conger ;146;146;1600000US2712952;2712952;$165.75;$29.03
COOK;$156,578;$160,937;$4,359;2.78%;Cook ;574;574;1600000US2713006;2713006;$280.38;$7.59
COON RAPIDS;$0;$934,541;$934,541;0.00%;Coon Rapids ;61,476;61476;1600000US2713114;2713114;$15.20;$15.20
CORCORAN;$0;$7,058;$7,058;0.00%;Corcoran ;5,379;5379;1600000US2713168;2713168;$1.31;$1.31
CORRELL;$8,253;$8,280;$27;0.33%;Correll ;34;34;1600000US2713384;2713384;$243.53;$0.79
COSMOS;$128,232;$141,232;$13,000;10.14%;Cosmos ;473;473;1600000US2713420;2713420;$298.59;$27.48
COTTAGE GROVE;$0;$59,626;$59,626;0.00%;Cottage Grove ;34,589;34589;1600000US2713456;2713456;$1.72;$1.72
COTTONWOOD;$259,768;$293,140;$33,372;12.85%;Cottonwood ;1,212;1212;1600000US2713564;2713564;$241.86;$27.53
COURTLAND;$61,726;$75,819;$14,093;22.83%;Courtland ;611;611;1600000US2713582;2713582;$124.09;$23.07
CROMWELL;$24,038;$26,305;$2,267;9.43%;Cromwell ;234;234;1600000US2713780;2713780;$112.41;$9.69
CROOKSTON;$3,056,748;$3,516,134;$459,386;15.03%;Crookston ;7,891;7891;1600000US2713870;2713870;$445.59;$58.22
CROSBY;$756,240;$814,742;$58,502;7.74%;Crosby ;2,386;2386;1600000US2713924;2713924;$341.47;$24.52
CROSSLAKE;$0;$0;$0;0.00%;Crosslake ;2,141;2141;1600000US2713978;2713978;$0.00;$0.00
CRYSTAL;$1,455,066;$1,643,830;$188,764;12.97%;Crystal ;22,151;22151;1600000US2714158;2714158;$74.21;$8.52
CURRIE;$68,556;$69,999;$1,443;2.10%;Currie ;233;233;1600000US2714320;2714320;$300.42;$6.19
CUYUNA;$2,164;$7,755;$5,591;258.36%;Cuyuna ;332;332;1600000US2714428;2714428;$23.36;$16.84
CYRUS;$75,669;$81,155;$5,486;7.25%;Cyrus ;288;288;1600000US2714446;2714446;$281.79;$19.05
DAKOTA;$34,858;$41,819;$6,961;19.97%;Dakota ;323;323;1600000US2714518;2714518;$129.47;$21.55
DALTON;$47,177;$55,157;$7,980;16.92%;Dalton ;253;253;1600000US2714626;2714626;$218.01;$31.54
DANUBE;$133,480;$147,647;$14,167;10.61%;Danube ;505;505;1600000US2714716;2714716;$292.37;$28.05
DANVERS;$9,517;$9,517;$0;0.00%;Danvers ;97;97;1600000US2714734;2714734;$98.11;$0.00
DARFUR;$38,379;$38,379;$0;0.00%;Darfur ;108;108;1600000US2714770;2714770;$355.36;$0.00
DARWIN;$37,512;$46,517;$9,005;24.01%;Darwin ;350;350;1600000US2714842;2714842;$132.91;$25.73
DASSEL;$301,387;$359,724;$58,337;19.36%;Dassel ;1,469;1469;1600000US2714878;2714878;$244.88;$39.71
DAWSON;$540,099;$575,229;$35,130;6.50%;Dawson ;1,540;1540;1600000US2714968;2714968;$373.53;$22.81
DAYTON;$0;$21,623;$21,623;0.00%;Dayton ;4,671;4671;1600000US2715022;2715022;$4.63;$4.63
DEEPHAVEN;$0;$0;$0;0.00%;Deephaven ;3,642;3642;1600000US2715148;2715148;$0.00;$0.00
DEER CREEK;$57,092;$66,318;$9,226;16.16%;Deer Creek ;322;322;1600000US2715184;2715184;$205.96;$28.65
DEER RIVER;$281,538;$308,880;$27,342;9.71%;Deer River ;930;930;1600000US2715310;2715310;$332.13;$29.40
DEERWOOD;$2,495;$10,833;$8,338;334.19%;Deerwood ;532;532;1600000US2715346;2715346;$20.36;$15.67
DEGRAFF;$24,544;$24,544;$0;0.00%;De Graff ;115;115;1600000US2715418;2715418;$213.43;$0.00
DELANO;$0;$177,705;$177,705;0.00%;Delano ;5,464;5464;1600000US2715454;2715454;$32.52;$32.52
DELAVAN;$48,781;$48,781;$0;0.00%;Delavan ;179;179;1600000US2715472;2715472;$272.52;$0.00
DELHI;$15,650;$15,650;$0;0.00%;Delhi ;70;70;1600000US2715544;2715544;$223.57;$0.00
DELLWOOD;$0;$0;$0;0.00%;Dellwood ;1,063;1063;1600000US2715616;2715616;$0.00;$0.00
DENHAM;$234;$234;$0;0.00%;Denham ;35;35;1600000US2715670;2715670;$6.69;$0.00
DENNISON;$8,798;$10,617;$1,819;20.68%;Dennison ;212;212;1600000US2715706;2715706;$50.08;$8.58
DENT;$41,956;$44,787;$2,831;6.75%;Dent ;192;192;1600000US2715724;2715724;$233.27;$14.74
DETROIT LAKES;$690,536;$782,188;$91,652;13.27%;Detroit Lakes ;8,569;8569;1600000US2715832;2715832;$91.28;$10.70
DEXTER;$70,342;$72,139;$1,797;2.55%;Dexter ;341;341;1600000US2715886;2715886;$211.55;$5.27
DILWORTH;$493,847;$603,809;$109,962;22.27%;Dilworth ;4,024;4024;1600000US2715976;2715976;$150.05;$27.33
DODGE CENTER;$624,915;$682,359;$57,444;9.19%;Dodge Center ;2,670;2670;1600000US2715994;2715994;$255.57;$21.51
DONALDSON;$4,638;$4,844;$206;4.44%;Donaldson ;42;42;1600000US2716030;2716030;$115.33;$4.90
DONNELLY;$50,497;$54,194;$3,697;7.32%;Donnelly ;241;241;1600000US2716084;2716084;$224.87;$15.34
DORAN;$12,030;$13,133;$1,103;9.17%;Doran ;55;55;1600000US2716156;2716156;$238.78;$20.05
DOVER;$93,649;$129,014;$35,365;37.76%;Dover ;735;735;1600000US2716264;2716264;$175.53;$48.12
DOVRAY;$13,705;$13,705;$0;0.00%;Dovray ;57;57;1600000US2716300;2716300;$240.44;$0.00
