GEO.id,GEO.id2,GEO.display-label,D001
1600000US2722904,2722904,"Frontenac CDP, Minnesota",282
1600000US2722940,2722940,"Frost city, Minnesota",198
1600000US2722958,2722958,"Fulda city, Minnesota",1318
1600000US2722976,2722976,"Funkley city, Minnesota",5
1600000US2723084,2723084,"Garden City CDP, Minnesota",255
1600000US2723120,2723120,"Garfield city, Minnesota",354
1600000US2723192,2723192,"Garrison city, Minnesota",210
1600000US2723228,2723228,"Garvin city, Minnesota",135
1600000US2723246,2723246,"Gary city, Minnesota",214
1600000US2723300,2723300,"Gaylord city, Minnesota",2305
1600000US2723318,2723318,"Gem Lake city, Minnesota",393
1600000US2723354,2723354,"Geneva city, Minnesota",555
1600000US2723444,2723444,"Genola city, Minnesota",75
1600000US2723498,2723498,"Georgetown city, Minnesota",129
1600000US2723660,2723660,"Ghent city, Minnesota",370
1600000US2723678,2723678,"Gibbon city, Minnesota",772
1600000US2723714,2723714,"Gilbert city, Minnesota",1799
1600000US2723804,2723804,"Gilman city, Minnesota",224
1600000US2723948,2723948,"Glencoe city, Minnesota",5631
1600000US2724056,2724056,"Glenville city, Minnesota",643
1600000US2724074,2724074,"Glenwood city, Minnesota",2564
1600000US2724182,2724182,"Glyndon city, Minnesota",1394
1600000US2724308,2724308,"Golden Valley city, Minnesota",20371
1600000US2724344,2724344,"Gonvick city, Minnesota",282
1600000US2724398,2724398,"Goodhue city, Minnesota",1176
1600000US2724470,2724470,"Goodridge city, Minnesota",132
1600000US2724506,2724506,"Good Thunder city, Minnesota",583
1600000US2724524,2724524,"Goodview city, Minnesota",4036
1600000US2724758,2724758,"Graceville city, Minnesota",577
1600000US2724884,2724884,"Granada city, Minnesota",303
1600000US2724992,2724992,"Grand Marais city, Minnesota",1351
1600000US2725010,2725010,"Grand Meadow city, Minnesota",1139
1600000US2725118,2725118,"Grand Rapids city, Minnesota",10869
1600000US2725280,2725280,"Granite Falls city, Minnesota",2897
1600000US2725334,2725334,"Grant city, Minnesota",4096(r23796)
1600000US2725424,2725424,"Grasston city, Minnesota",158
1600000US2725604,2725604,"Greenbush city, Minnesota",719
1600000US2725622,2725622,"Greenfield city, Minnesota",2777
1600000US2725658,2725658,"Green Isle city, Minnesota",559
1600000US2725874,2725874,"Greenwald city, Minnesota",222
1600000US2725918,2725918,"Greenwood city, Minnesota",688
1600000US2726000,2726000,"Grey Eagle city, Minnesota",348
1600000US2726126,2726126,"Grove City city, Minnesota",635
1600000US2726216,2726216,"Grygla city, Minnesota",221
1600000US2726270,2726270,"Gully city, Minnesota",66
1600000US2726378,2726378,"Hackensack city, Minnesota",313
1600000US2726450,2726450,"Hadley city, Minnesota",61
1600000US2726576,2726576,"Hallock city, Minnesota",981
1600000US2726612,2726612,"Halma city, Minnesota",61
1600000US2726630,2726630,"Halstad city, Minnesota",597
1600000US2726666,2726666,"Hamburg city, Minnesota",513
1600000US2726738,2726738,"Ham Lake city, Minnesota",15296
1600000US2726828,2726828,"Hammond city, Minnesota",132
1600000US2726864,2726864,"Hampton city, Minnesota",689
1600000US2726936,2726936,"Hancock city, Minnesota",765
1600000US2726972,2726972,"Hanley Falls city, Minnesota",304
1600000US2726990,2726990,"Hanover city, Minnesota",2938
1600000US2727008,2727008,"Hanska city, Minnesota",402
1600000US2727098,2727098,"Harding city, Minnesota",125
1600000US2727116,2727116,"Hardwick city, Minnesota",198
1600000US2727188,2727188,"Harmony city, Minnesota",1020
1600000US2727278,2727278,"Harris city, Minnesota",1132
1600000US2727404,2727404,"Hartland city, Minnesota",315
1600000US2727530,2727530,"Hastings city, Minnesota",22172
1600000US2727566,2727566,"Hatfield city, Minnesota",54
1600000US2727746,2727746,"Hawley city, Minnesota",2067
1600000US2727872,2727872,"Hayfield city, Minnesota",1340
1600000US2727944,2727944,"Hayward city, Minnesota",250
1600000US2728016,2728016,"Hazel Run city, Minnesota",63
1600000US2728124,2728124,"Hector city, Minnesota",1151
1600000US2728214,2728214,"Heidelberg city, Minnesota",122
1600000US2728394,2728394,"Henderson city, Minnesota",886
1600000US2728430,2728430,"Hendricks city, Minnesota",713
1600000US2728484,2728484,"Hendrum city, Minnesota",307
1600000US2728520,2728520,"Henning city, Minnesota",802
1600000US2728574,2728574,"Henriette city, Minnesota",71
1600000US2728646,2728646,"Herman city, Minnesota",437
1600000US2728682,2728682,"Hermantown city, Minnesota",9414
1600000US2728700,2728700,"Heron Lake city, Minnesota",698
1600000US2728754,2728754,"Hewitt city, Minnesota",266
1600000US2728790,2728790,"Hibbing city, Minnesota",16361
1600000US2729096,2729096,"Hill City city, Minnesota",633
1600000US2729150,2729150,"Hillman city, Minnesota",38
1600000US2729204,2729204,"Hills city, Minnesota",686
1600000US2729258,2729258,"Hilltop city, Minnesota",744
1600000US2729294,2729294,"Hinckley city, Minnesota",1800
1600000US2729402,2729402,"Hitterdal city, Minnesota",201
1600000US2729474,2729474,"Hoffman city, Minnesota",681
1600000US2729510,2729510,"Hokah city, Minnesota",580
1600000US2729582,2729582,"Holdingford city, Minnesota",708
1600000US2729618,2729618,"Holland city, Minnesota",187
1600000US2729636,2729636,"Hollandale city, Minnesota",303
1600000US2729672,2729672,"Holloway city, Minnesota",92
1600000US2729870,2729870,"Holt city, Minnesota",88
1600000US2730014,2730014,"Homer CDP, Minnesota",181
1600000US2730140,2730140,"Hopkins city, Minnesota",17591
1600000US2730230,2730230,"Houston city, Minnesota",979
1600000US2730284,2730284,"Howard Lake city, Minnesota",1962
1600000US2730302,2730302,"Hoyt Lakes city, Minnesota",2017
1600000US2730392,2730392,"Hugo city, Minnesota",13332
1600000US2730446,2730446,"Humboldt city, Minnesota",45
1600000US2730644,2730644,"Hutchinson city, Minnesota",14178
1600000US2730806,2730806,"Ihlen city, Minnesota",63
1600000US2730842,2730842,"Independence city, Minnesota",3504
1600000US2730950,2730950,"Inger CDP, Minnesota",212
1600000US2731040,2731040,"International Falls city, Minnesota",6424
1600000US2731076,2731076,"Inver Grove Heights city, Minnesota",33880
1600000US2731094,2731094,"Iona city, Minnesota",137
1600000US2731238,2731238,"Iron Junction city, Minnesota",86
1600000US2731274,2731274,"Ironton city, Minnesota",572
1600000US2731328,2731328,"Isanti city, Minnesota",5251(r23797)
1600000US2731472,2731472,"Isle city, Minnesota",751
1600000US2731526,2731526,"Ivanhoe city, Minnesota",559
1600000US2731562,2731562,"Jackson city, Minnesota",3299
1600000US2731706,2731706,"Janesville city, Minnesota",2256
1600000US2731760,2731760,"Jasper city, Minnesota",633
1600000US2731796,2731796,"Jeffers city, Minnesota",369
1600000US2731832,2731832,"Jenkins city, Minnesota",430
1600000US2732012,2732012,"Johnson city, Minnesota",29
1600000US2732174,2732174,"Jordan city, Minnesota",5470
1600000US2732372,2732372,"Kandiyohi city, Minnesota",491
1600000US2732444,2732444,"Karlstad city, Minnesota",760
1600000US2732462,2732462,"Kasota city, Minnesota",675
1600000US2732498,2732498,"Kasson city, Minnesota",5931
1600000US2732570,2732570,"Keewatin city, Minnesota",1068
1600000US2732606,2732606,"Kelliher city, Minnesota",262
1600000US2732642,2732642,"Kellogg city, Minnesota",456
1600000US2732732,2732732,"Kennedy city, Minnesota",193
1600000US2732750,2732750,"Kenneth city, Minnesota",68
1600000US2732768,2732768,"Kensington city, Minnesota",292
1600000US2732786,2732786,"Kent city, Minnesota",81
1600000US2732840,2732840,"Kenyon city, Minnesota",1815
